,id,raw_text,vw_text
11,doc_11,six chances to win cash! from 100 to 20000 pounds txt> csh11 and send to 87575 cost 150p/day 6days 16+ tsandcs apply reply hl 4 info,doc_11 |@text six:1 chances:1 to:3 win:1 cash!:1 from:1 100:1 20000:1 pounds:1 txt>:1 csh11:1 and:1 send:1 87575:1 cost:1 150p/day:1 6days:1 16+:1 tsandcs:1 apply:1 reply:1 hl:1 4:1 info:1
12,doc_12,urgent! you have won a 1 week free membership in our £100000 prize jackpot! txt the word claim to no 81010 t&c wwwdbuknet lccltd pobox 4403ldnw1a7rw18,doc_12 |@text urgent!:1 you:1 have:1 won:1 a:1 1:1 week:1 free:1 membership:1 in:1 our:1 £100000:1 prize:1 jackpot!:1 txt:1 the:1 word:1 claim:1 to:1 no:1 81010:1 t&c:1 wwwdbuknet:1 lccltd:1 pobox:1 4403ldnw1a7rw18:1
13,doc_13,i've been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,doc_13 |@text i've:1 been:2 searching:1 for:3 the:1 right:1 words:1 to:1 thank:1 you:2 this:1 breather:1 i:2 promise:2 wont:1 take:1 your:1 help:1 granted:1 and:2 will:1 fulfil:1 my:1 have:1 wonderful:1 a:1 blessing:1 at:1 all:1 times:1
14,doc_14,i have a date on sunday with will!!,doc_14 |@text i:1 have:1 a:1 date:1 on:1 sunday:1 with:1 will!!:1
15,doc_15,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here>> http//wap xxxmobilemovieclubcom?n=qjkgighjjgcbl,doc_15 |@text xxxmobilemovieclub:1 to:1 use:1 your:1 credit:1 click:2 the:2 wap:1 link:1 in:1 next:1 txt:1 message:1 or:1 here>>:1 http//wap:1 xxxmobilemovieclubcom?n=qjkgighjjgcbl:1
16,doc_16,oh ki'm watching here),doc_16 |@text oh:1 ki'm:1 watching:1 here):1
17,doc_17,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,doc_17 |@text eh:1 u:1 remember:1 how:1 2:1 spell:1 his:1 name:1 yes:1 i:2 did:1 he:1 v:2 naughty:1 make:1 until:1 wet:1
18,doc_18,fine if thats the way u feel thats the way its gota b,doc_18 |@text fine:1 if:1 thats:2 the:2 way:2 u:1 feel:1 its:1 gota:1 b:1
19,doc_19,england v macedonia - dont miss the goals/team news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt/ú120 poboxox36504w45wq 16+,doc_19 |@text england:2 v:1 macedonia:1 -:1 dont:1 miss:1 the:1 goals/team:1 news:1 txt:1 ur:1 national:1 team:1 to:2 87077:2 eg:1 trywales:1 scotland:1 4txt/ú120:1 poboxox36504w45wq:1 16+:1
20,doc_20,is that seriously how you spell his name?,doc_20 |@text is:1 that:1 seriously:1 how:1 you:1 spell:1 his:1 name?:1
21,doc_21,i‘m going to try for 2 months ha ha only joking,doc_21 |@text i‘m:1 going:1 to:1 try:1 for:1 2:1 months:1 ha:2 only:1 joking:1
22,doc_22,so ü pay first lar then when is da stock comin,doc_22 |@text so:1 ü:1 pay:1 first:1 lar:1 then:1 when:1 is:1 da:1 stock:1 comin:1
23,doc_23,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already?,doc_23 |@text aft:1 i:2 finish:2 my:1 lunch:2 then:1 go:1 str:1 down:1 lor:2 ard:1 3:1 smth:1 u:1 ur:1 already?:1
24,doc_24,ffffffffff alright no way i can meet up with you sooner?,doc_24 |@text ffffffffff:1 alright:1 no:1 way:1 i:1 can:1 meet:1 up:1 with:1 you:1 sooner?:1
25,doc_25,just forced myself to eat a slice i'm really not hungry tho this sucks mark is getting worried he knows i'm sick when i turn down pizza lol,doc_25 |@text just:1 forced:1 myself:1 to:1 eat:1 a:1 slice:1 i'm:2 really:1 not:1 hungry:1 tho:1 this:1 sucks:1 mark:1 is:1 getting:1 worried:1 he:1 knows:1 sick:1 when:1 i:1 turn:1 down:1 pizza:1 lol:1
26,doc_26,lol your always so convincing,doc_26 |@text lol:1 your:1 always:1 so:1 convincing:1
27,doc_27,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,doc_27 |@text did:2 you:5 catch:1 the:1 bus:1 ?:4 are:2 frying:1 an:1 egg:1 make:1 a:1 tea?:1 eating:1 your:1 mom's:1 left:1 over:1 dinner:1 do:1 feel:1 my:1 love:1
28,doc_28,i'm back &amp; we're packing the car now i'll let you know if there's room,doc_28 |@text i'm:1 back:1 &amp;:1 we're:1 packing:1 the:1 car:1 now:1 i'll:1 let:1 you:1 know:1 if:1 there's:1 room:1
29,doc_29,ahhh work i vaguely remember that! what does it feel like? lol,doc_29 |@text ahhh:1 work:1 i:1 vaguely:1 remember:1 that!:1 what:1 does:1 it:1 feel:1 like?:1 lol:1
30,doc_30,wait that's still not all that clear were you not sure about me being sarcastic or that that's why x doesn't want to live with us,doc_30 |@text wait:1 that's:2 still:1 not:2 all:1 that:2 clear:1 were:1 you:1 sure:1 about:1 me:1 being:1 sarcastic:1 or:1 why:1 x:1 doesn't:1 want:1 to:1 live:1 with:1 us:1
31,doc_31,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2! but we won't go there! not doing too badly cheers you? ,doc_31 |@text yeah:1 he:2 got:2 in:2 at:1 2:1 and:3 was:2 v:1 apologetic:1 n:1 had:1 fallen:1 out:1 she:1 actin:1 like:1 spoilt:1 child:1 caught:1 up:1 that:1 till:1 2!:1 but:1 we:1 won't:1 go:1 there!:1 not:1 doing:1 too:1 badly:1 cheers:1 you?:1
32,doc_32,k tell me anything about you,doc_32 |@text k:1 tell:1 me:1 anything:1 about:1 you:1
33,doc_33,for fear of fainting with the of all that housework you just did? quick have a cuppa,doc_33 |@text for:1 fear:1 of:2 fainting:1 with:1 the:1 all:1 that:1 housework:1 you:1 just:1 did?:1 quick:1 have:1 a:1 cuppa:1
34,doc_34,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no if you reply no you will not be charged,doc_34 |@text thanks:1 for:1 your:2 subscription:1 to:1 ringtone:1 uk:1 mobile:1 will:2 be:2 charged:2 £5/month:1 please:1 confirm:1 by:1 replying:1 yes:1 or:1 no:2 if:1 you:2 reply:1 not:1
35,doc_35,yup ok i go home look at the timings then i msg ü again xuhui going to learn on 2nd may too but her lesson is at 8am,doc_35 |@text yup:1 ok:1 i:2 go:1 home:1 look:1 at:2 the:1 timings:1 then:1 msg:1 ü:1 again:1 xuhui:1 going:1 to:1 learn:1 on:1 2nd:1 may:1 too:1 but:1 her:1 lesson:1 is:1 8am:1
36,doc_36,oops i'll let you know when my roommate's done,doc_36 |@text oops:1 i'll:1 let:1 you:1 know:1 when:1 my:1 roommate's:1 done:1
37,doc_37,i see the letter b on my car,doc_37 |@text i:1 see:1 the:1 letter:1 b:1 on:1 my:1 car:1
38,doc_38,anything lor u decide,doc_38 |@text anything:1 lor:1 u:1 decide:1
39,doc_39,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo not that i'm trying to invite myself or anything!,doc_39 |@text hello!:1 how's:1 you:1 and:1 how:1 did:1 saturday:1 go?:1 i:1 was:1 just:1 texting:1 to:3 see:1 if:1 you'd:1 decided:1 do:1 anything:1 tomo:1 not:1 that:1 i'm:1 trying:1 invite:1 myself:1 or:1 anything!:1
40,doc_40,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,doc_40 |@text pls:1 go:1 ahead:1 with:1 watts:1 i:1 just:1 wanted:1 to:1 be:1 sure:1 do:1 have:1 a:1 great:1 weekend:1 abiola:1
41,doc_41,did i forget to tell you ? i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,doc_41 |@text did:1 i:5 forget:1 to:1 tell:1 you:5 ?:1 want:1 need:1 crave:1 but:1 most:1 of:1 all:1 love:1 my:1 sweet:1 arabian:1 steed:1 mmmmmm:1 yummy:1
42,doc_42,07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder please call now 08000930705 for delivery tomorrow,doc_42 |@text 07732584351:1 -:2 rodger:1 burns:1 msg:1 =:1 we:1 tried:1 to:2 call:2 you:1 re:1 your:1 reply:1 our:1 sms:1 for:2 a:1 free:2 nokia:1 mobile:1 +:1 camcorder:1 please:1 now:1 08000930705:1 delivery:1 tomorrow:1
43,doc_43,who are you seeing?,doc_43 |@text who:1 are:1 you:1 seeing?:1
44,doc_44,great! i hope you like your man well endowed i am  &lt;#&gt;  inches,doc_44 |@text great!:1 i:2 hope:1 you:1 like:1 your:1 man:1 well:1 endowed:1 am:1 &lt;#&gt;:1 inches:1
45,doc_45,no callsmessagesmissed calls,doc_45 |@text no:1 callsmessagesmissed:1 calls:1
46,doc_46,didn't you get hep b immunisation in nigeria,doc_46 |@text didn't:1 you:1 get:1 hep:1 b:1 immunisation:1 in:1 nigeria:1
47,doc_47,fair enough anything going on?,doc_47 |@text fair:1 enough:1 anything:1 going:1 on?:1
48,doc_48,yeah hopefully if tyler can't do it i could maybe ask around a bit,doc_48 |@text yeah:1 hopefully:1 if:1 tyler:1 can't:1 do:1 it:1 i:1 could:1 maybe:1 ask:1 around:1 a:1 bit:1
49,doc_49,u don't know how stubborn i am i didn't even want to go to the hospital i kept telling mark i'm not a weak sucker hospitals are for weak suckers,doc_49 |@text u:1 don't:1 know:1 how:1 stubborn:1 i:3 am:1 didn't:1 even:1 want:1 to:2 go:1 the:1 hospital:1 kept:1 telling:1 mark:1 i'm:1 not:1 a:1 weak:2 sucker:1 hospitals:1 are:1 for:1 suckers:1
50,doc_50,what you thinked about me first time you saw me in class,doc_50 |@text what:1 you:2 thinked:1 about:1 me:2 first:1 time:1 saw:1 in:1 class:1
51,doc_51,a gram usually runs like  &lt;#&gt;  a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;,doc_51 |@text a:3 gram:2 usually:1 runs:1 like:1 &lt;#&gt;:2 half:1 eighth:1 is:1 smarter:1 though:1 and:1 gets:1 you:1 almost:1 whole:1 second:1 for:1
52,doc_52,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,doc_52 |@text k:1 fyi:1 x:1 has:1 a:1 ride:1 early:1 tomorrow:1 morning:1 but:1 he's:1 crashing:1 at:1 our:1 place:1 tonight:1
53,doc_53,"wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about ""the cave"" i'm sorry i didn't and don't have more to give i'm sorry i offered i'm sorry your room was so embarassing","doc_53 |@text wow:1 i:6 never:1 realized:1 that:1 you:3 were:1 so:3 embarassed:1 by:1 your:2 accomodations:1 thought:1 liked:1 it:1 since:1 was:2 doing:1 the:1 best:1 could:1 and:2 always:1 seemed:1 happy:1 about:1 ""the:1 cave"":1 i'm:3 sorry:3 didn't:1 don't:1 have:1 more:1 to:1 give:1 offered:1 room:1 embarassing:1"
54,doc_54,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect? end? reply end sptv,doc_54 |@text sms:1 ac:1 sptv:2 the:2 new:1 jersey:1 devils:1 and:1 detroit:1 red:1 wings:1 play:1 ice:1 hockey:1 correct:1 or:1 incorrect?:1 end?:1 reply:1 end:1
55,doc_55,do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;,doc_55 |@text do:1 you:1 know:1 what:1 mallika:1 sherawat:1 did:1 yesterday?:1 find:1 out:1 now:1 @:1 &lt;url&gt;:1
56,doc_56,congrats! 1 year special cinema pass for 2 is yours call 09061209465 now! c suprman v matrix3 starwars3 etc all 4 free! bx420-ip4-5we 150pm dont miss out! ,doc_56 |@text congrats!:1 1:1 year:1 special:1 cinema:1 pass:1 for:1 2:1 is:1 yours:1 call:1 09061209465:1 now!:1 c:1 suprman:1 v:1 matrix3:1 starwars3:1 etc:1 all:1 4:1 free!:1 bx420-ip4-5we:1 150pm:1 dont:1 miss:1 out!:1
57,doc_57,sorry i'll call later in meeting,doc_57 |@text sorry:1 i'll:1 call:1 later:1 in:1 meeting:1
58,doc_58,tell where you reached,doc_58 |@text tell:1 where:1 you:1 reached:1
59,doc_59,yesgauti and sehwag out of odi series,doc_59 |@text yesgauti:1 and:1 sehwag:1 out:1 of:1 odi:1 series:1
60,doc_60,your gonna have to pick up a $1 burger for yourself on your way home i can't even move pain is killing me,doc_60 |@text your:2 gonna:1 have:1 to:1 pick:1 up:1 a:1 $1:1 burger:1 for:1 yourself:1 on:1 way:1 home:1 i:1 can't:1 even:1 move:1 pain:1 is:1 killing:1 me:1
61,doc_61,ha ha ha good joke girls are situation seekers,doc_61 |@text ha:3 good:1 joke:1 girls:1 are:1 situation:1 seekers:1
62,doc_62,its a part of checking iq,doc_62 |@text its:1 a:1 part:1 of:1 checking:1 iq:1
63,doc_63,sorry my roommates took forever it ok if i come by now?,doc_63 |@text sorry:1 my:1 roommates:1 took:1 forever:1 it:1 ok:1 if:1 i:1 come:1 by:1 now?:1
64,doc_64,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,doc_64 |@text ok:1 lar:1 i:2 double:1 check:1 wif:1 da:1 hair:1 dresser:1 already:1 he:2 said:2 wun:1 cut:2 v:1 short:1 will:1 until:1 look:1 nice:1
65,doc_65,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a £1500 bonus prize call 09066364589,doc_65 |@text as:1 a:2 valued:1 customer:1 i:1 am:1 pleased:1 to:1 advise:1 you:2 that:1 following:1 recent:1 review:1 of:1 your:1 mob:1 no:1 are:1 awarded:1 with:1 £1500:1 bonus:1 prize:1 call:1 09066364589:1
66,doc_66,"today is ""song dedicated day"" which song will u dedicate for me? send this to all ur valuable frnds but first rply me","doc_66 |@text today:1 is:1 ""song:1 dedicated:1 day"":1 which:1 song:1 will:1 u:1 dedicate:1 for:1 me?:1 send:1 this:1 to:1 all:1 ur:1 valuable:1 frnds:1 but:1 first:1 rply:1 me:1"
67,doc_67,urgent ur awarded a complimentary trip to eurodisinc trav aco&entry41 or £1000 to claim txt dis to 87121 18+6*£150(morefrmmob shracomorsglsuplt)10 ls1 3aj,doc_67 |@text urgent:1 ur:1 awarded:1 a:1 complimentary:1 trip:1 to:3 eurodisinc:1 trav:1 aco&entry41:1 or:1 £1000:1 claim:1 txt:1 dis:1 87121:1 18+6*£150(morefrmmob:1 shracomorsglsuplt)10:1 ls1:1 3aj:1
68,doc_68,"did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!","doc_68 |@text did:1 you:1 hear:1 about:1 the:1 new:1 ""divorce:1 barbie""?:1 it:1 comes:1 with:1 all:1 of:1 ken's:1 stuff!:1"
69,doc_69,i plane to give on this month end,doc_69 |@text i:1 plane:1 to:1 give:1 on:1 this:1 month:1 end:1
70,doc_70,wah lucky man then can save money hee,doc_70 |@text wah:1 lucky:1 man:1 then:1 can:1 save:1 money:1 hee:1
71,doc_71,finished class where are you,doc_71 |@text finished:1 class:1 where:1 are:1 you:1
72,doc_72,hi babe im at home now wanna do something? xx,doc_72 |@text hi:1 babe:1 im:1 at:1 home:1 now:1 wanna:1 do:1 something?:1 xx:1
73,doc_73,kk)where are you?how did you performed?,doc_73 |@text kk)where:1 are:1 you?how:1 did:1 you:1 performed?:1
74,doc_74,u can call me now,doc_74 |@text u:1 can:1 call:1 me:1 now:1
75,doc_75,i am waiting machan call me once you free,doc_75 |@text i:1 am:1 waiting:1 machan:1 call:1 me:1 once:1 you:1 free:1
76,doc_76,thats cool i am a gentleman and will treat you with dignity and respect,doc_76 |@text thats:1 cool:1 i:1 am:1 a:1 gentleman:1 and:2 will:1 treat:1 you:1 with:1 dignity:1 respect:1
77,doc_77,i like you peoples very much) but am very shy pa,doc_77 |@text i:1 like:1 you:1 peoples:1 very:2 much):1 but:1 am:1 shy:1 pa:1
78,doc_78,does not operate after  &lt;#&gt;  or what,doc_78 |@text does:1 not:1 operate:1 after:1 &lt;#&gt;:1 or:1 what:1
79,doc_79,its not the same here still looking for a job how much do ta's earn there,doc_79 |@text its:1 not:1 the:1 same:1 here:1 still:1 looking:1 for:1 a:1 job:1 how:1 much:1 do:1 ta's:1 earn:1 there:1
80,doc_80,sorry i'll call later,doc_80 |@text sorry:1 i'll:1 call:1 later:1
81,doc_81,k did you call me just now ah? ,doc_81 |@text k:1 did:1 you:1 call:1 me:1 just:1 now:1 ah?:1
82,doc_82,ok i am on the way to home hi hi,doc_82 |@text ok:1 i:1 am:1 on:1 the:1 way:1 to:1 home:1 hi:2
83,doc_83,you will be in the place of that man,doc_83 |@text you:1 will:1 be:1 in:1 the:1 place:1 of:1 that:1 man:1
84,doc_84,yup next stop,doc_84 |@text yup:1 next:1 stop:1
85,doc_85,i call you later don't have network if urgnt sms me,doc_85 |@text i:1 call:1 you:1 later:1 don't:1 have:1 network:1 if:1 urgnt:1 sms:1 me:1
86,doc_86,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done i already used all my multis,doc_86 |@text for:1 real:1 when:1 u:1 getting:1 on:1 yo?:1 i:2 only:1 need:1 2:1 more:2 tickets:1 and:2 one:1 jacket:1 i'm:1 done:1 already:1 used:1 all:1 my:1 multis:1
87,doc_87,yes i started to send requests to make it but pain came back so i'm back in bed double coins at the factory too i gotta cash in all my nitros,doc_87 |@text yes:1 i:2 started:1 to:2 send:1 requests:1 make:1 it:1 but:1 pain:1 came:1 back:2 so:1 i'm:1 in:2 bed:1 double:1 coins:1 at:1 the:1 factory:1 too:1 gotta:1 cash:1 all:1 my:1 nitros:1
88,doc_88,i'm really not up to it still tonight babe,doc_88 |@text i'm:1 really:1 not:1 up:1 to:1 it:1 still:1 tonight:1 babe:1
89,doc_89,ela kanoil download come wen ur free,doc_89 |@text ela:1 kanoil:1 download:1 come:1 wen:1 ur:1 free:1
90,doc_90,yeah do! don‘t stand to close tho- you‘ll catch something!,doc_90 |@text yeah:1 do!:1 don‘t:1 stand:1 to:1 close:1 tho-:1 you‘ll:1 catch:1 something!:1
91,doc_91,sorry to be a pain is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that sorry ,doc_91 |@text sorry:2 to:1 be:1 a:1 pain:1 is:1 it:1 ok:1 if:1 we:1 meet:1 another:1 night?:1 i:2 spent:1 late:1 afternoon:1 in:1 casualty:1 and:3 that:3 means:1 haven't:1 done:1 any:1 of:1 y:1 stuff42moro:1 includes:1 all:1 my:1 time:1 sheets:1
92,doc_92,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,doc_92 |@text smile:5 in:2 pleasure:1 pain:1 when:2 trouble:1 pours:1 like:1 rain:1 sum1:1 hurts:1 u:2 becoz:1 someone:1 still:1 loves:1 to:1 see:1 smiling!!:1
93,doc_93,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!,doc_93 |@text please:1 call:1 our:1 customer:1 service:1 representative:1 on:1 0800:1 169:1 6031:1 between:1 10am-9pm:1 as:1 you:1 have:1 won:1 a:1 guaranteed:1 £1000:1 cash:1 or:1 £5000:1 prize!:1
94,doc_94,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already?,doc_94 |@text havent:1 planning:1 to:1 buy:1 later:1 i:1 check:1 already:1 lido:1 only:1 got:1 530:1 show:1 in:1 e:1 afternoon:1 u:1 finish:1 work:1 already?:1
95,doc_95,"your free ringtone is waiting to be collected simply text the password ""mix"" to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16","doc_95 |@text your:1 free:1 ringtone:1 is:1 waiting:1 to:3 be:1 collected:1 simply:1 text:1 the:1 password:1 ""mix"":1 85069:1 verify:1 get:1 usher:1 and:1 britney:1 fml:1 po:1 box:1 5249:1 mk17:1 92h:1 450ppw:1 16:1"
96,doc_96,watching telugu moviewat abt u?,doc_96 |@text watching:1 telugu:1 moviewat:1 abt:1 u?:1
97,doc_97,i see when we finish we have loads of loans to pay,doc_97 |@text i:1 see:1 when:1 we:2 finish:1 have:1 loads:1 of:1 loans:1 to:1 pay:1
98,doc_98,"hi wk been ok - on hols now! yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u?""","doc_98 |@text hi:1 wk:1 been:1 ok:1 -:1 on:2 hols:1 now!:1 yes:1 for:2 a:2 bit:1 of:1 run:1 forgot:1 that:2 i:1 have:1 hairdressers:1 appointment:1 at:1 four:1 so:1 need:1 to:1 get:1 home:1 n:1 shower:1 beforehand:1 does:1 cause:1 prob:1 u?"":1"
99,doc_99,i see a cup of coffee animation,doc_99 |@text i:1 see:1 a:1 cup:1 of:1 coffee:1 animation:1
100,doc_100,please don't text me anymore i have nothing else to say,doc_100 |@text please:1 don't:1 text:1 me:1 anymore:1 i:1 have:1 nothing:1 else:1 to:1 say:1
101,doc_101,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,doc_101 |@text okay:1 name:1 ur:1 price:1 as:2 long:1 its:1 legal!:1 wen:1 can:1 i:1 pick:1 them:1 up?:1 y:1 u:1 ave:1 x:1 ams:1 xx:1
102,doc_102,i'm still looking for a car to buy and have not gone 4the driving test yet,doc_102 |@text i'm:1 still:1 looking:1 for:1 a:1 car:1 to:1 buy:1 and:1 have:1 not:1 gone:1 4the:1 driving:1 test:1 yet:1
103,doc_103,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers press *9 to copy your friends callertune,doc_103 |@text as:2 per:1 your:3 request:1 'melle:1 melle:1 (oru:1 minnaminunginte:1 nurungu:1 vettam)':1 has:1 been:1 set:1 callertune:2 for:1 all:1 callers:1 press:1 *9:1 to:1 copy:1 friends:1
104,doc_104,wow you're right! i didn't mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,doc_104 |@text wow:1 you're:1 right!:1 i:3 didn't:1 mean:1 to:2 do:1 that:1 guess:1 once:1 gave:1 up:1 on:2 boston:2 men:1 and:1 changed:2 my:2 search:1 location:1 nyc:1 something:1 cuz:1 signin:1 page:1 it:1 still:1 says:1
105,doc_105,umma my life and vava umma love you lot dear,doc_105 |@text umma:2 my:1 life:1 and:1 vava:1 love:1 you:1 lot:1 dear:1
106,doc_106,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,doc_106 |@text thanks:2 a:1 lot:1 for:2 your:1 wishes:1 on:1 my:2 birthday:2 you:1 making:1 truly:1 memorable:1
107,doc_107,aight i'll hit you up when i get some cash,doc_107 |@text aight:1 i'll:1 hit:1 you:1 up:1 when:1 i:1 get:1 some:1 cash:1
108,doc_108,how would my ip address test that considering my computer isn't a minecraft server,doc_108 |@text how:1 would:1 my:2 ip:1 address:1 test:1 that:1 considering:1 computer:1 isn't:1 a:1 minecraft:1 server:1
109,doc_109,i know! grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,doc_109 |@text i:2 know!:1 grumpy:1 old:1 people:1 my:1 mom:1 was:1 like:1 you:1 better:1 not:1 be:1 lying:1 then:1 again:1 am:1 always:1 the:1 one:1 to:1 play:1 jokes:1
110,doc_110,dont worry i guess he's busy,doc_110 |@text dont:1 worry:1 i:1 guess:1 he's:1 busy:1
111,doc_111,what is the plural of the noun research?,doc_111 |@text what:1 is:1 the:2 plural:1 of:1 noun:1 research?:1
112,doc_112,going for dinnermsg you after,doc_112 |@text going:1 for:1 dinnermsg:1 you:1 after:1
113,doc_113,i'm ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,doc_113 |@text i'm:1 ok:1 wif:1 it:1 cos:2 i:2 like:2 2:1 try:1 new:1 things:1 but:1 scared:1 u:2 dun:1 mah:1 said:1 not:1 too:1 loud:1
114,doc_114,gent! we are trying to contact you last weekends draw shows that you won a £1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,doc_114 |@text gent!:1 we:1 are:1 trying:1 to:1 contact:1 you:2 last:1 weekends:1 draw:1 shows:1 that:1 won:1 a:1 £1000:1 prize:1 guaranteed:1 call:1 09064012160:1 claim:1 code:1 k52:1 valid:1 12hrs:1 only:1 150ppm:1
115,doc_115,wa ur openin sentence very formal anyway i'm fine too juz tt i'm eatin too much n puttin on weighthaha so anythin special happened?,doc_115 |@text wa:1 ur:1 openin:1 sentence:1 very:1 formal:1 anyway:1 i'm:2 fine:1 too:2 juz:1 tt:1 eatin:1 much:1 n:1 puttin:1 on:1 weighthaha:1 so:1 anythin:1 special:1 happened?:1
